endTime,artistName,trackName,msPlayed
2022-03-14 22:45,The Weeknd,Shameless,40751
2022-03-15 01:09,Guthrie Govan,Beautiful Imperfection,155114
2022-03-15 01:10,Guthrie Govan,Hollywood Woman,77546
2022-03-15 01:22,Shane Mesa,Lady Sunshine,10432
2022-03-15 01:22,Covet,shibuya (feat. San Holo),33621
2022-03-15 06:07,TesseracT,Beneath My Skin / Mirror Image,1440
2022-03-15 06:07,BABYMETAL,Doki Doki ☆ Morning,840
2022-03-15 06:12,The Five Satins,In The Still of the Night,3637
2022-03-15 06:12,Funk Fiction,K.K. Cruisin',227100
2022-03-15 06:17,10cc,The Things We Do For Love,207573
2022-03-15 06:19,Shady Cicada,schmove.,6800
2022-03-15 06:19,Testament,Rise Up,21328
2022-03-15 06:19,Moe Shop,Love Taste,2880
2022-03-15 06:28,DM DOKURO,Scourge of the Universe,505742
2022-03-15 06:33,Polyphia,Aviator,255975
2022-03-15 06:34,Hatena,SOULLL,29641
2022-03-15 06:35,Noedell,Enjoy Yourself,85270
2022-03-15 06:38,Climax Blues Band,Couldn't Get It Right,198946
2022-03-15 06:40,Your Neighbors,Bodega,1180
2022-03-15 06:40,oDDling,Vivid,760
2022-03-15 06:40,Heatace,Genesis Explorer,2210
2022-03-15 06:40,Rayklin,Growing Apart,5100
2022-03-15 06:40,frad,The Girl I Have a Crush On,46731
2022-03-15 06:41,Polyphia,Champagne,5150
2022-03-15 06:41,Pierce The Veil,Besitos,8690
2022-03-15 06:45,The Weeknd,Shameless,253506
2022-03-15 06:48,Frédéric Chopin,"Waltz No. 19 in A minor, Op. posth.",152000
2022-03-15 06:50,岡部啓一,Voice of no Return,60991
2022-03-15 06:56,Emi Evans,Wish...,359477
2022-03-15 06:57,Lizz Robinett,Plastic Love - English Version,570
2022-03-15 06:57,SQUARE ENIX MUSIC,Kaine / Salvation,1010
2022-03-15 06:57,Red Velvet - IRENE & SEULGI,Naughty,5452
2022-03-15 06:57,Igorrr,Camel Dancefloor,0
2022-03-15 06:57,CLC,"1,2,3 (Japanese Version)",1140
2022-03-15 06:57,(G)I-DLE,HWAA,130
2022-03-15 06:57,SQUARE ENIX MUSIC,Hills of Radiant Winds,0
2022-03-15 06:57,Sangatsu no Phantasia,パステルレイン,670
2022-03-15 06:59,Windows 96,Caligula,0
2022-03-15 06:59,The Five Satins,In The Still of the Night,820
2022-03-15 06:59,Xxtarlit⚸,Fleeting Frozen Heart,880
2022-03-15 06:59,Pianozone,Libestraume - No.3,590
2022-03-15 06:59,KIRINJI,killer tune kills me,122850
2022-03-15 06:59,Sewerslvt,Kawaii Razor Blades,760
2022-03-15 07:00,Forrest Nolan,Sinatra,0
2022-03-15 07:00,Nathan Evans,Wellerman - Sea Shanty,600
2022-03-15 07:00,LOONA,Love Cherry Motion,560
2022-03-15 07:00,CLC,To the sky,0
2022-03-15 07:00,Machiko Watanabe,空港,570
2022-03-15 07:00,Polyphia,Aviator,1050
2022-03-15 07:00,Polyphia,40oz,820
2022-03-15 07:00,Megan McDuffee,The Hunt,0
2022-03-15 07:05,insaneintherainmusic,Eterna Forest,308163
2022-03-15 07:09,keshi,War With Heaven,193373
2022-03-15 07:12,Wabie,Love Me Tomorrow,180458
2022-03-15 07:16,Dream Theater,Wait for Sleep,151866
2022-03-15 07:21,Yoshiki,Red Swan,263720
2022-03-15 07:25,Polyphia,O.D.,202163
2022-03-15 07:30,J-Music Ensemble,"Wake Up, Get Up, Get out There",284390
2022-03-15 07:34,BLADEFEAR,Memory,2440
2022-03-15 07:34,Polyphia,Champagne,1110
2022-03-15 07:34,SQUARE ENIX MUSIC,Yonah - Strings Ver.,181662
2022-03-15 07:34,Calum Bowen,Lovely City,5010
2022-03-15 07:34,Lena Raine,Resurrections,790
2022-03-15 07:34,Shady Cicada,This Is Fine,9130
2022-03-15 07:34,Park Bird,If I Could Ride a Bike,670
2022-03-15 07:35,マドロスMERCURY,Cupcake Break,12060
2022-03-15 07:38,Sarah Kang,Summer Is for Falling in Love,186466
2022-03-15 07:39,Seals and Crofts,Summer Breeze,610
2022-03-15 07:39,Seals and Crofts,Summer Breeze,30
2022-03-15 07:39,Go West,Faithful,250
2022-03-15 07:39,Go West,Faithful,440
2022-03-15 07:39,S. Kiyotaka & Omega Tribe,Futari No Natsu Monogatari Never Ending Summer,6430
2022-03-15 07:39,S. Kiyotaka & Omega Tribe,Futari No Natsu Monogatari Never Ending Summer,0
2022-03-15 07:39,SQUARE ENIX MUSIC,Snow in Summer,0
2022-03-15 07:39,SQUARE ENIX MUSIC,Snow in Summer,7784
2022-03-15 07:39,leon chang,frog summer,1870
2022-03-15 07:39,leon chang,frog summer,150
2022-03-15 07:40,CLC,ME,1060
2022-03-15 07:40,Shane Mesa,Lady Sunshine,63200
2022-03-15 07:40,BABYMETAL,"Ijime, Dame, Zettai",3280
2022-03-15 07:43,Igorrr,Barocco Satani,173935
2022-03-15 07:45,Sophia James,Somebody New,138934
2022-03-15 07:49,Huey Lewis & The News,Hip To Be Square,230040
2022-03-15 07:53,Go West,Call Me,252973
2022-03-15 08:02,Dream Theater,"Metropolis - Part I: ""The Miracle and the Sleeper""",440979
2022-03-15 08:04,Joji,SLOW DANCING IN THE DARK,12730
2022-03-15 08:07,Naked Eyes,Always Something There to Remind Me - 2018 Remaster,219373
2022-03-15 08:07,ENXK,PERCEPTIXNS,2476
2022-03-15 08:11,Adriano Celentano,Prisencolinensinainciusol,229067
2022-03-15 08:13,Interlunium,Blue Moon Blue Ocean,72220
2022-03-15 15:46,Shane Mesa,Lady Sunshine,26006
2022-03-15 15:51,Anri,Lady Sunshine,222133
2022-03-15 15:54,Go West,Call Me,142330
2022-03-15 21:43,Go West,Call Me,4969
2022-03-15 21:44,The Weeknd,Shameless,51130
2022-03-15 21:47,Deko,Phantasy Star Online,193560
2022-03-15 21:48,SQUARE ENIX MUSIC,Cold Steel Coffin,0
2022-03-15 21:48,Polyphia,The Worst,1996
2022-03-15 21:48,岡部啓一,Weight of the World Kowaretasekainouta - Marina Kawano,1393
2022-03-15 21:48,Hugo Vanbrooke,the first snow,0
2022-03-15 21:48,Michiko Mada,Soko Kara Miteta,0
2022-03-15 21:48,Little River Band,Reminiscing - Remastered,0
2022-03-15 21:48,Machine Girl,Cyan Hardcore,37164
2022-03-15 21:48,平田志穂子,"Heartbeat,Heartbreak",0
2022-03-15 21:48,Wabie,Love Me Tomorrow,0
2022-03-15 21:48,Todd Rundgren,I Saw the Light - 2015 Remaster,9171
2022-03-15 21:48,Dillinja,Deadly Deep Subs,0
2022-03-15 21:48,Sapphire,No More What Ifs,2438
2022-03-15 21:49,DV-i,Resonance,2972
2022-03-15 21:49,来兎,Blood Drain -Again- (Eltnum Theme),1021
2022-03-15 21:49,$uicideboy$,All Dogs Go to Heaven,11099
2022-03-15 21:49,Wolfgang Amadeus Mozart,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",0
2022-03-15 21:49,Igorrr,Downgrade Desert,2948
2022-03-15 21:49,ENXK,PERCEPTIXNS,928
2022-03-15 21:54,The 8-Bit Big Band,"Snake Eater (From ""Metal Gear Solid 3"")",154614
2022-03-16 02:49,Interlunium,Blue Moon Blue Ocean,8070
2022-03-16 02:50,Garoad,Your Love Is a Drug (Insaneintherain Arrange) [Bonus Track],4830
2022-03-16 02:50,Danny Baranowsky,Crypteque,670
2022-03-16 02:50,Frédéric Chopin,"Waltz No. 19 in A minor, Op. posth.",600
2022-03-16 02:50,Shady Cicada,schmove.,600
2022-03-16 02:50,Mandroid Echostar,Ancient Arrows,900
2022-03-16 02:50,glass beach,bedroom community,510
2022-03-16 02:50,Dan Mason ダン·メイソン,Nothing Matters (Re23MiX 2.1 Comprehensive Mix),70
2022-03-16 02:50,HA:TFELT,Life Sucks,610
2022-03-16 02:50,YOASOBI,たぶん,580
2022-03-16 02:50,Ottorino Respighi,"Suite No. 3, P. 172: III. Siciliana: Andantino",630
2022-03-16 02:50,KIRINJI,killer tune kills me,6950
2022-03-16 02:50,アトラスサウンドチーム,specialist,830
2022-03-16 02:50,BABYMETAL,"Ijime, Dame, Zettai",600
2022-03-16 02:52,Guthrie Govan,Hollywood Woman,116000
2022-03-16 02:56,BABYMETAL,KARATE,263173
2022-03-16 03:01,SQUARE ENIX MUSIC,Snow in Summer,285366
2022-03-16 03:04,J-Music Ensemble,The Days When My Mother Was There,130714
2022-03-16 03:07,Lizz Robinett,"Love Like You (From ""Steven Universe"")",134242
2022-03-16 03:13,Shitmat,Whitelabel Unity,90157
2022-03-16 03:13,Foreign Gnomes,Revenge,1140
2022-03-16 03:13,lvusm,Meow,920
2022-03-16 03:13,Tiffany Young,Runaway (feat. Babyface),1170
2022-03-16 03:13,CLC,I Need U,4330
2022-03-16 03:16,Sarah Kang,Summer Is for Falling in Love,186466
2022-03-16 03:23,Golden Boy,Holofractal Reality (Junglist Theory),289936
2022-03-16 03:24,Guthrie Govan,Lost in Rio,57399
2022-03-16 03:50,Shu-de,"Sygyt, Khoomei, Kargyraa (Styles of Throat-Singing)",110850
2022-03-16 03:52,May-ool Sedip,Sygyt Yrym,89050
2022-03-16 15:50,Jacob's Piano,"G Minor Bach (From ""Piano Tiles 2"")",19876
2022-03-16 15:54,Igorrr,Absolute Psalm,140759
2022-03-16 21:41,SQUARE ENIX MUSIC,Cold Steel Coffin,719
2022-03-16 21:41,</body>,Playback,1509
2022-03-16 21:41,Designed Intervention,Strangers Who Know Every Secret,1323
2022-03-16 21:41,Greyl,Planetarium,1369
2022-03-16 21:41,RichaadEB,Gospel,2972
2022-03-16 21:41,Igorrr,Absolute Psalm,11981
2022-03-16 21:41,Dazegxd,thinking about u,719
2022-03-16 21:42,Samantha Sang,Emotion,3065
2022-03-16 21:42,Dazegxd,thinking about u,58932
2022-03-16 21:42,Noah Kahan,Anyway,557
2022-03-16 21:43,Pouya,Aftershock,4272
2022-03-16 21:43,CLC,To the sky,1764
2022-03-16 21:44,Guthrie Govan,Uptown,113375
2022-03-17 15:44,Guthrie Govan,Uptown,15880
2022-03-17 15:44,Guthrie Govan,Uptown,10170
2022-03-17 15:48,Pink Martini,Hang on Little Tomato,196893
2022-03-17 15:51,Gallant,Sweet Insomnia (feat. 6LACK),130269
2022-03-17 16:41,Gallant,Sweet Insomnia (feat. 6LACK),4720
2022-03-17 16:44,Fritz Kreisler,Liebesleid (Love's Sorrow),2390
2022-03-17 16:44,Ginchy,Aruarian Dance,1330
2022-03-17 16:44,Shitmat,Liberation of Desire - Original Mix,1340
2022-03-17 16:44,Red Velvet - IRENE & SEULGI,Naughty,2200
2022-03-17 16:44,Shady Cicada,Daydreamer,8450
2022-03-17 16:44,Guthrie Govan,Beautiful Imperfection,140689
2022-03-17 16:45,The Contortionist,Language I: Intuition,4250
2022-03-18 00:45,May-ool Sedip,Sygyt Yrym,13090
2022-03-18 01:04,May-ool Sedip,Sygyt Yrym,8880
2022-03-18 01:07,Shady Cicada,Oneiro Castle,205090
2022-03-18 01:10,Toby Fox,Attack of the Killer Queen,120000
2022-03-18 01:12,SQUARE ENIX MUSIC,Song of the Ancients / Fate,121646
2022-03-18 01:14,Guthrie Govan,Hollywood Woman,116000
2022-03-18 01:14,Hollywood Burns,Enter the Yakuza Club,2860
2022-03-18 01:20,Michael Jackson,You Are Not Alone,345600
2022-03-18 01:21,LOONA,Love Cherry Motion,71
2022-03-18 01:22,Platina Jazz,"Come, Sweet Death (From ""Neon Genesis Evangelion"") (feat. Niklas Gabrielsson)",7000
2022-03-18 01:22,岡部啓一,Peaceful Sleep,1650
2022-03-18 01:25,keshi,good days,460
2022-03-18 01:25,Hugo Vanbrooke,stronger together,120
2022-03-18 01:25,Seals and Crofts,Summer Breeze,370
2022-03-18 01:25,YOASOBI,あの夢をなぞって,0
2022-03-18 01:25,Polyphia,Memory,197480
2022-03-18 01:25,SQUARE ENIX MUSIC,Song of the Ancients / Fate,810
2022-03-18 01:25,SiM,The Rumbling (TV Size),0
2022-03-18 01:25,Sewerslvt,"I Really Like You, Pt. 1",880
2022-03-18 01:25,Lizz Robinett,"Lost in Thoughts All Alone (From ""Fire Emblem Fates"")",60
2022-03-18 01:25,Æther Realm,Slave to the Riff,50
2022-03-18 01:25,Chevy,Morning Coffee (bubble ver.),1010
2022-03-18 01:29,Greyl,Planetarium,225436
2022-03-18 01:31,Yameii Online,Take Wrisks,69903
2022-03-18 01:32,Shady Cicada,Oneiro Castle,570
2022-03-18 01:32,Foreign Gnomes,Revenge,310
2022-03-18 01:32,Wabie,Love Me Tomorrow,33103
2022-03-18 01:32,Erik Correll,"Great Fairy Fountain (From ""The Legend of Zelda"") [Piano Etude]",1830
2022-03-18 01:32,Deko,Midnight Tokyo,2170
2022-03-19 05:07,Kingo Hamada,GATSBY WOMAN,3296
2022-03-19 05:08,Anri,Lady Sunshine,55018
2022-03-19 19:59,Anri,Lady Sunshine,80410
2022-03-19 20:00,FM Skyline,Harlequin,43049
2022-03-19 20:01,Tremonti,You Waste Your Time,1625
2022-03-19 20:01,Mandroid Echostar,Ancient Arrows,975
2022-03-19 20:01,岡部啓一,Voice of no Return,1764
2022-03-19 20:01,cillia,Scattered Glass,3462
2022-03-19 20:01,YOASOBI,たぶん,719
2022-03-19 20:04,Christian Kuria,Toroka,202075
2022-03-19 20:07,Dan Mason ダン·メイソン,Seaside,137597
2022-03-19 20:49,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",0
2022-03-19 20:49,Huey Lewis & The News,Hip To Be Square,270
2022-03-19 20:49,Perturbator,Perturbator's Theme,1020
2022-03-19 20:49,Unique Salonga,We Know,290
2022-03-19 20:49,Igorrr,Polyphonic Rust,2630
2022-03-19 20:49,The Contortionist,Language I: Intuition,970
2022-03-19 20:49,KZ Tandingan,Killing Me Softly,80
2022-03-19 20:49,Jacob's Piano,"G Minor Bach (From ""Piano Tiles 2"")",230
2022-03-19 20:49,Deko,Midnight Tokyo,162600
2022-03-19 20:49,Anri,あなたを抱いた夜,570
2022-03-19 20:50,Huey Lewis & The News,Hip To Be Square,45960
2022-03-19 20:50,Kaizo Slumber,Nu Slumber,1180
2022-03-19 20:50,Anri,あなたを抱いた夜,17290
2022-03-19 20:51,JUVENILE,Into U,190
2022-03-19 20:51,PARKGOLF,ダンスの合図,170
2022-03-19 20:51,BirraTheGunslinger,free,200
2022-03-19 20:51,Stratovarius,Stratosphere,19350
2022-03-19 20:51,BABYMETAL,KARATE,870
2022-03-19 20:51,Soilwork,Spectrum of Eternity,620
2022-03-22 03:02,Young Thug,pick up the phone,57230
2022-03-22 21:42,Guthrie Govan,Jelly Bean,139115
2022-03-22 21:47,Polyphia,Hourglass,252765
2022-03-22 21:48,Ok Goodnight,Rapture,4572
2022-03-22 21:52,Interlunium,Blue Moon Blue Ocean - Japanese Version,239515
2022-03-22 21:53,Igorrr,Grosse Barbe,8599
2022-03-22 21:54,☆Taku Takahashi,Star Future,98615
2022-03-22 21:56,Pouya,Aftershock,82895
2022-03-22 21:56,Mariya Takeuchi,Shiawasenomonosashi,14744
2022-03-22 21:56,James Landino,Reaction - Osu Edit,835
2022-03-22 21:58,Dan Mason ダン·メイソン,Melatonin High - Rework 2021,87214
2022-03-22 21:58,Dan Mason ダン·メイソン,Melatonin High - Rework 2021,2136
2022-03-23 18:43,Pouya,Aftershock,760
2022-03-23 18:43,Dan Mason ダン·メイソン,Melatonin High - Rework 2021,3390
2022-03-23 18:46,Galdive,Sorbet,196956
2022-03-23 18:50,Michiko Mada,Soko Kara Miteta,178000
2022-03-23 18:51,Samantha Sang,Emotion,68603
2022-03-24 15:36,Samantha Sang,Emotion,3366
2022-03-24 15:36,TesseracT,Beneath My Skin / Mirror Image,232
2022-03-24 15:36,Machiko Watanabe,空港,1277
2022-03-24 15:36,Yoshiki,Red Swan,1160
2022-03-24 15:36,Moe Shop,Love Taste,162
2022-03-25 01:46,岡部啓一,City Ruins (Rays of Light),626
2022-03-25 01:46,Calum Bowen,Lovely City,2345
2022-03-25 01:46,Nujabes,Spiral,92
2022-03-25 01:46,Anri,SHYNESS BOY,3366
2022-03-25 01:46,leon chang,frog summer,1973
2022-03-25 01:46,Moe Shop,Love Taste,2554
2022-03-27 22:08,Jan Cyrka,Darker Than Life,920
2022-03-27 22:08,Jan Cyrka,Hairy Times,1060
2022-03-27 22:08,Jan Cyrka,Carefree Summer,3880
2022-03-27 22:08,Polyphia,Hourglass,88180
2022-03-27 22:10,Guthrie Govan,Beautiful Imperfection,140689
2022-03-29 18:35,Jan Cyrka,Aching Heart,68710
2022-03-29 18:36,Jan Cyrka,Aching Heart,26780
2022-03-30 03:24,Madison Beer,Baby,6134
2022-03-30 03:24,Poo Bear,Hard 2 Face Reality,63
2022-03-30 03:24,girli,More Than a Friend,0
2022-03-30 03:24,Labrinth,Forever,448
2022-03-30 03:24,Mary Gu,Не влюбляйся,3754
2022-03-30 03:24,Nessa Barrett,i hope ur miserable until ur dead,0
2022-03-30 03:24,thuy,All Night Long,896
2022-03-30 08:26,SQUARE ENIX MUSIC,Kaine / Salvation,175808
2022-03-30 17:44,Shady Cicada,System Failure,120
2022-03-30 17:44,SQUARE ENIX MUSIC,Cold Steel Coffin,3000
2022-03-30 17:44,Lizz Robinett,"Aishiteru Banzai! (From ""Love Live"")",880
2022-03-30 17:48,Funk Fiction,"Press Garden (From ""Sonic Mania"")",231666
2022-03-30 17:52,Kana Hanazawa,too late for chocolate ?,1280
2022-03-30 17:52,Gooseworx,Supernova Shakedown,9942
2022-03-30 17:52,Kieron Lee,Raincoat (feat. Chloe Ho),177517
2022-03-30 17:56,keshi,drunk,227031
2022-03-30 17:58,INXS,Need You Tonight,60190
2022-03-30 18:00,Deko,Phantasy Star Online,87980
2022-03-30 18:34,Deko,Phantasy Star Online,105589
2022-03-30 18:38,☆Taku Takahashi,Old Edition,198480
2022-03-30 18:42,Mikazuki BIGWAVE,Emotional Prism,273086
2022-03-30 18:46,Anri,WINDY SUMMER,246693
2022-03-30 18:49,Funk Fiction,K.K. Cruisin',179791
2022-03-30 21:43,NATURE,Girls,211373
2022-03-30 21:46,TesseracT,Beneath My Skin / Mirror Image,104568
2022-03-30 21:59,TesseracT,Beneath My Skin / Mirror Image,650
2022-03-31 21:43,TesseracT,Beneath My Skin / Mirror Image,1950
2022-03-31 21:44,oDDling,Ascend,73003
2022-03-31 21:44,Shady Cicada,Daydreamer,1555
2022-03-31 21:49,来兎,Blood Drain -Again- (Eltnum Theme),227973
2022-03-31 21:52,B.J. Thomas,Raindrops Keep Fallin' on My Head - Rerecorded,178146
2022-03-31 21:57,Polyphia,Aviator,255975
2022-03-31 21:58,Nothgard,Lightcrawler,41371
2022-04-01 00:14,Young Thug,pick up the phone,207078
2022-04-01 00:17,Lil Uzi Vert,Erase Your Social,137020
2022-04-01 00:17,Lil Duke,Pass Me The Lighter (Feat. Young Thug),19070
2022-04-01 00:19,Jan Cyrka,This Fine Feeling,129834
2022-04-01 00:21,Gogi 93,Private Cloud,9868
2022-04-01 00:23,Jan Cyrka,Aching Heart,107931
2022-04-01 00:26,Dan Mason ダン·メイソン,Seaside,232941
2022-04-01 00:27,Eurobeat Brony,Discord 19 - To-The-Point Mix,36987
2022-04-01 00:29,Jan Cyrka,Aching Heart,107931
2022-04-01 00:31,Eli Noir,Weakness,2410
2022-04-01 00:31,Polyphia,O.D.,68755
2022-04-01 00:33,Chevy,I Know a Place,129000
2022-04-01 00:36,Anri,CAT'S EYE - (NEW TAKE),189306
2022-04-01 00:39,demxntia,tonight,84875
2022-04-01 00:42,DEEN,RIDE ON TIME,212862
2022-04-01 04:05,DEEN,RIDE ON TIME,111580
2022-04-01 04:37,Igorrr,Hollow Tree,103200
2022-04-01 04:42,Burn The Ballroom,Whisper,96210
2022-04-01 04:42,SQUARE ENIX MUSIC,Song of the Ancients / Popola,7460
2022-04-01 04:42,Franz Schubert,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",1080
2022-04-01 04:42,Foreign Gnomes,Revenge,890
2022-04-01 04:44,Naked Eyes,Always Something There to Remind Me - 2018 Remaster,103430
2022-04-01 04:44,SQUARE ENIX MUSIC,Kaine / Salvation,2050
2022-04-01 04:44,Polyphia,Aviator,650
2022-04-01 04:44,Chevy,Morning Coffee (bubble ver.),1450
2022-04-01 04:48,Shady Cicada,Night Time Fever,235500
2022-04-01 04:51,Shady Cicada,Daydreamer,198857
2022-04-01 04:54,Burn The Ballroom,Whisper,3480
2022-04-01 04:54,Shady Cicada,Oneiro Castle,134992
2022-04-01 04:54,Jan Cyrka,Darker Than Life,1570
2022-04-01 04:54,Jan Cyrka,Hell and High Water,1240
2022-04-01 04:55,Jan Cyrka,Darker Than Life,36330
2022-04-01 04:56,Jan Cyrka,Aching Heart,107931
2022-04-01 04:59,Jan Cyrka,Andalucian Sunset,188044
2022-04-01 05:02,Jan Cyrka,This Fine Feeling,129834
2022-04-01 05:04,Jan Cyrka,Heart of Mine,116341
2022-04-01 05:07,Jan Cyrka,El Dorado,158980
2022-04-01 05:08,Jan Cyrka,Belleville Swing,74294
2022-04-01 05:08,Jan Cyrka,Andalucian Sunset,24122
2022-04-01 05:12,Anri,STAY BY ME,217360
2022-04-01 05:17,Anri,Remember Summer Days,295666
2022-04-01 05:21,Anri,DRIVING MY LOVE,230923
2022-04-01 05:25,Anri,Good Bye Boogie Dance,272093
2022-04-01 05:26,Burn The Ballroom,Whisper,2906
2022-04-01 05:26,Jan Cyrka,Darker Than Life,3030
2022-04-01 05:26,Anri,STAY BY ME,1650
2022-04-01 05:26,Polyphia,Aviator,1660
2022-04-01 05:27,Designed Intervention,Strangers Who Know Every Secret,64700
2022-04-01 05:27,NATURE,Girls,1990
2022-04-01 05:27,Girls' Generation,Gee,1630
2022-04-01 05:28,Guthrie Govan,Where We Started,7680
2022-04-01 05:28,NATURE,Girls,50
2022-04-01 05:28,NATURE,Girls,2340
2022-04-01 05:28,Girls' Generation,Gee,1780
2022-04-01 05:28,.Uzu,My Gamecube Broke.,10060
2022-04-01 05:28,.Uzu,My Gamecube Broke.,1090
2022-04-01 05:31,Fritz Kreisler,Liebesleid (Love's Sorrow),1590
2022-04-01 05:31,HammerFall,Hearts on Fire,1340
2022-04-01 05:31,Unprocessed,Deadrose,160
2022-04-01 05:31,Climax Blues Band,Couldn't Get It Right,1230
2022-04-01 05:31,Guthrie Govan,Where We Started,7645
2022-04-01 05:31,.Uzu,My Gamecube Broke.,170834
2022-04-01 05:34,Climax Blues Band,Couldn't Get It Right,197000
2022-04-01 05:39,Platina Jazz,Devil Man,301720
2022-04-01 05:43,Platina Jazz,A Town With An Ocean View,194523
2022-04-01 05:43,Loftys Comet,Shower Thoughts,13626
2022-04-01 05:45,Rob Scallon,Rain,118780
2022-04-01 05:45,Rob Scallon,Rain,2640
2022-04-01 05:45,Æther Realm,"The Sun, The Moon, The Star",5730
2022-04-01 05:46,Rob Scallon,Rain,1450
2022-04-01 05:46,Æther Realm,"The Sun, The Moon, The Star",1090
2022-04-01 05:46,Æther Realm,"The Sun, The Moon, The Star",46270
2022-04-01 05:47,Jan Cyrka,Dirt and Dust,1220
2022-04-01 05:47,CLC,To the sky,1590
2022-04-01 05:47,Galdive,Sorbet,80540
2022-04-01 05:47,M2U,Ayla,1390
2022-04-01 05:48,Unique Salonga,We Know,36470
2022-04-01 05:51,Fritz Kreisler,Liebesleid (Love's Sorrow),1740
2022-04-01 05:51,Unique Salonga,We Know,1581
2022-04-01 05:51,B.J. Thomas,Raindrops Keep Fallin' on My Head - Rerecorded,2240
2022-04-01 05:51,M2U,Ayla,184258
2022-04-01 05:51,Yoko Takahashi,A Cruel Angel's Thesis (Director's Edit Version),1430
2022-04-01 05:51,frad,The Girl I Have a Crush On,1780
2022-04-01 05:52,Tee Lopes,Metallic Madness Zone Act 2 (Sonic Mania),69500
2022-04-01 05:53,Kunning Fox,Accumula Town,56790
2022-04-01 05:54,slchld,"she likes spring, I prefer winter",29080
2022-04-01 05:59,DM DOKURO,Scourge of the Universe,307480
2022-04-01 06:01,Platina Jazz,A Town With An Ocean View,1250
2022-04-01 06:01,Yameii Online,Take Wrisks,1630
2022-04-01 06:01,Ginchy,Aruarian Dance,6550
2022-04-01 06:01,Robert John,Sad Eyes - Remastered 2002,1750
2022-04-01 06:01,DM DOKURO,Roar of the Jungle Dragon,147160
2022-04-01 06:01,Wolfgang Amadeus Mozart,Lacrimosa,1510
2022-04-01 06:02,av4ln,syrupy,64210
2022-04-01 06:03,Osvaldorio,Lotus,1290
2022-04-01 06:03,Pyotr Ilyich Tchaikovsky,"Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante",1490
2022-04-01 06:06,Arianne,"KOMM, SUSSER TOD - M-10 Director's Edit Version",205260
2022-04-01 06:06,Ben Briggs,K.K. Cruisin',1740
2022-04-01 06:06,Unique Salonga,We Know,1630
2022-04-01 06:06,岡部啓一,Voice of no Return,1900
2022-04-01 06:06,Michael Jackson,It's the Falling in Love,380
2022-04-01 06:10,岡部啓一,Voice of no Return,231840
2022-04-01 06:10,Michael Jackson,It's the Falling in Love,16270
2022-04-01 06:11,HAARPER,Bungee Gum,2430
2022-04-01 06:11,Anri,Flash Back Memories,24720
2022-04-01 06:11,Interlunium,Intergalactic Disco,47690
2022-04-01 06:11,Toby Fox,Attack of the Killer Queen,1640
2022-04-01 06:12,岡部啓一,City Ruins (Rays of Light),39940
2022-04-01 06:12,Polyphia,The Worst,5090
2022-04-01 06:12,Anri,STAY BY ME,1630
2022-04-01 06:12,Jan Cyrka,Andalucian Sunset,1780
2022-04-01 06:12,Anri,Lady Sunshine,5430
2022-04-01 06:12,Tiffany Young,Runaway (feat. Babyface),2650
2022-04-01 06:12,Michael Jackson,Girlfriend,1690
2022-04-01 06:13,Michiko Mada,Soko Kara Miteta,2140
2022-04-01 06:13,Michael Jackson,Off the Wall,1430
2022-04-01 06:13,DM DOKURO,Roar of the Jungle Dragon,1390
2022-04-01 06:14,Guthrie Govan,Hollywood Woman,116000
2022-04-01 06:14,Noah Kahan,Anyway,0
2022-04-01 06:15,Guthrie Govan,The Cost of Loving,1280
2022-04-01 06:15,Platina Jazz,Devil Man,1540
2022-04-01 06:15,Virginio Aiello,Van Gogh,2310
2022-04-01 06:15,keshi,drunk,1310
2022-04-01 06:15,cignature,Nun Nu Nan Na,470
2022-04-01 06:15,Mitsunori Ikeda,Fallen Angel feat. Aimee B,840
2022-04-01 06:15,Wolfgang Amadeus Mozart,"Sonata for 2 Pianos in D Major, K. 448/375a: I. Allegro con spirito",1700
2022-04-01 06:15,Deko,Ethereal Sakura,1490
2022-04-01 06:16,J-Music Ensemble,The Days When My Mother Was There,65450
2022-04-01 06:20,石元 丈晴,Insomnia,235706
2022-04-01 06:20,Caitlin Myers,Stay with Me,4640
2022-04-01 06:22,Franz Liszt,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",1330
2022-04-01 06:22,PHONK WALKER,OLD GENESIS,1660
2022-04-01 06:22,Jan Cyrka,Hell and High Water,1530
2022-04-01 06:22,lvusm,Meow,45570
2022-04-01 06:22,Igorrr,Spaghetti Forever,85680
2022-04-01 06:24,SQUARE ENIX MUSIC,The Ultimate Weapon,1630
2022-04-01 06:24,YOASOBI,たぶん,63890
2022-04-01 06:24,Foreign Gnomes,Tinnitus Dance,1340
2022-04-01 06:26,10cc,The Things We Do For Love,27940
2022-04-01 06:26,BABYMETAL,"Ijime, Dame, Zettai",129730
2022-04-01 06:29,Austin Farwell,New Home (Slowed),174521
2022-04-01 06:31,Hugo Vanbrooke,am ersten Tag,130191
2022-04-01 06:32,☆Taku Takahashi,Old Edition,16637
2022-04-01 06:36,PUBLIC,Splash,1340
2022-04-01 06:36,Goreshit,Hold My Hand,275030
